item,code,name-ja,name-en
81030,X-20A,アクリル溶剤大徳用(40ml),Acrylic thinner (40ml)
81040,X-20A,アクリル溶剤特大(250ml),Acrylic thinner (250ml)
81501,X-1,ブラック,BLACK
81502,X-2,ホワイト,WHITE
81503,X-3,ロイヤルブルー,ROYAL BLUE
81504,X-4,ブルー,BLUE
81505,X-5,グリーン,GREEN
81506,X-6,オレンジ,ORANGE
81507,X-7,レッド,RED
81508,X-8,レモンイエロー,LEMON YELLOW
81509,X-9,ブラウン,BROWN
81510,X-10,ガンメタル,GUN METAL
81511,X-11,クロームシルバー,CHROME SILVER
81512,X-12,ゴールドリーフ,GOLD LEAF
81513,X-13,メタリックブルー,METALLIC BLUE
81514,X-14,スカイブルー,SKY BLUE
81515,X-15,ライトグリーン,LIGHT GREEN
81516,X-16,パープル,PURPLE
81517,X-17,ピンク,PINK
81518,X-18,セミグロスブラック,SEMI GLOSS BLACK
81519,X-19,スモーク,SMOKE
81520,X-20A,溶剤,THINNER
81521,X-21,フラットベース,FLAT BASE
81522,X-22,クリヤー,CLEAR
81523,X-23,クリヤーブルー,CLEAR BLUE
81524,X-24,クリヤーイエロー,CLEAR YELLOW
81525,X-25,クリヤーグリーン,CLEAR GREEN
81526,X-26,クリヤーオレンジ,CLEAR ORANGE
81527,X-27,クリヤーレッド,CLEAR RED
81528,X-28,パークグリーン,PARK GREEN
81531,X-31,チタンゴールド,TITAN. GOLD
81532,X-32,チタンシルバー,TITAN. SILVER
81533,X-33,ブロンズ,BRONZE
81534,X-34,メタリックブラウン,METAL. BROWN
81535,X-35,セミグロスクリヤー,SEMI GLOSS CLEAR
81701,XF-1,フラットブラック,FLAT BLACK
81702,XF-2,フラットホワイト,FLAT WHITE
81703,XF-3,フラットイエロー,FLAT YELLOW
81704,XF-4,イエローグリーン,YELLOW GREEN
81705,XF-5,フラットグリーン,FLAT GREEN
81706,XF-6,コッパー,COPPER
81707,XF-7,フラットレッド,FLAT RED
81708,XF-8,フラットブルー,FLAT BLUE
81709,XF-9,ハルレッド,HULL RED
81710,XF-10,フラットブラウン,Flat Brown
81711,XF-11,暗緑色,J. N. GREEN
81712,XF-12,明灰白色,J. N. GREY
81713,XF-13,濃緑色,J. A. GREEN
81714,XF-14,明灰緑色,J. A. GRREY
81715,XF-15,フラットフレッシュ,FLAT FLESH
81716,XF-16,フラットアルミ,FLAT ALUMINUM
81717,XF-17,シーブルー,SEA BLUE
81718,XF-18,ミディアムブルー,MEDIUM BLUE
81719,XF-19,スカイグレイ,SKY GREY
81720,XF-20,ミディアムグレイ,MEDIUM GREY
81721,XF-21,スカイ,SKY
81722,XF-22,RLM グレイ,RLM GREY
81723,XF-23,ライトブルー,LIGHT BLUE
81724,XF-24,ダークグレイ,DARK GREY
81725,XF-25,ライトシーグレイ,LIGHT SEA GREY
81726,XF-26,ディープグリーン,DEEP GREEN
81727,XF-27,ブラックグリーン,BLACK GREEN
81728,XF-28,ダークコッパー,DARK COPPER
81749,XF-49,カーキ,KHAKI
81750,XF-50,フィールドブルー,FIELD BLUE
81751,XF-51,カーキドラブ,KHAKI DRAB
81752,XF-52,フラットアース,FLAT EARTH
81753,XF-53,ニュートラルグレイ,NEUTRAL GREY
81754,XF-54,ダークシーグレイ,DARK SEA GREY
81755,XF-55,デッキタン,DECK TAN
81756,XF-56,メタリックグレイ,METALLIC GREY
81757,XF-57,バフ,BUFF
81758,XF-58,オリーブグリーン,OLIVE GREEN
81759,XF-59,デザートイエロー,DESERT YELLOW
81760,XF-60,ダークイエロー,DARK YELLOW
81761,XF-61,ダークグリーン,DARK GREEN
81762,XF-62,オリーブドラブ,OLIVE DRAB
81763,XF-63,ジャーマングレイ,GERMAN GREY
81764,XF-64,レッドブラウン,RED BROWN
81765,XF-65,フィールドグレイ,FIELD GREY
81766,XF-66,ライトグレイ,Light GREY
81767,XF-67,NATOグリーン,NATO GREEN
81768,XF-68,NATOブラウン,NATO BROWN
81769,XF-69,NATOブラック,NATO BLACK
81770,XF-70,暗緑色2,DARK GREEN 2 (IJN)
81771,XF-71,コックピット色 （日本海軍）,COCKPIT GREEN (IJN)
81772,XF-72,茶色 （陸上自衛隊）,BROWN (JGSDF)
81773,XF-73,濃緑色 （陸上自衛隊）,DARK GREEN (JGSDF)
81774,XF-74,OD色（陸上自衛隊）,OLIVE DRAB (JGSDF)
81775,XF-75,呉海軍工廠グレイ（日本海軍）,IJN GRAY (KURE ARSENAL)
81776,XF-76,灰緑色（日本海軍）,GRAY GREEN (IJN)
81777,XF-77,佐世保海軍工廠グレイ(日本海軍),IJN GRAY (SASEBO ARSENAL)
81778,XF-78,木甲板色,WOODEN DECK TAN
81779,XF-79,リノリウム甲板色,LINOLEUM DECK BROWN
81780,XF-80,ロイヤルライトグレイ,ROYAL LIGHT GRAY
81781,XF-81,ダークグリーン2 （イギリス空軍）,DARK GREEN 2 (RAF)
81782,XF-82,オーシャングレイ2 （イギリス空軍）,OCEAN GRAY 2 (RAF)
81783,XF-83,ミディアムシーグレイ2 （イギリス空軍）,MEDIUM SEA GRAY 2 (RAF)
81784,XF-84,ダークアイアン （履帯色）,DARK IRON
81785,XF-85,ラバーブラック,RUBBER BLACK
81786,XF-86,フラットクリヤー,FLAT CLEAR
81787,XF-87,舞鶴海軍工廠グレイ (日本海軍),IJN GRAY (MAIZURU ARSENAL)
81788,XF-88,ダークイエロー2（ドイツ陸軍）,DARK YELLOW 2
81789,XF-89,ダークグリーン2(ドイツ陸軍),DARK GREEN 2
81790,XF-90,レッドブラウン2（ドイツ陸軍）,RED BROWN 2
81791,XF-91,横須賀海軍工廠グレイ (日本海軍),IJN GRAY (YOKOSUKA ARSENAL)
81792,XF-92,イエローブラウン (DAK 1941～),YELLOW-BROWN (DAK 1941)
81793,XF-93,ライトブラウン (DAK 1942～),LIGHT BROWN (DAK 1942)
