item,code,name-ja,name-en
82101,LP-1,ブラック,BLACK
82102,LP-2,ホワイト,WHITE
82103,LP-3,フラットブラック,FLAT BLACK
82104,LP-4,フラットホワイト,FLAT WHITE
82105,LP-5,セミグロスブラック,SEMI GLOSS BLACK
82106,LP-6,ピュアブルー,PURE BLUE
82107,LP-7,ピュアレッド,PURE RED
82108,LP-8,ピュアーイエロー,PURE YELLOW
82109,LP-9,クリヤー,CLEAR
82110,LP-10,ラッカー溶剤 （10ml）,LACQUER THINNER (10ml)
82111,LP-11,シルバー,SILVER
82112,LP-12,呉海軍工廠グレイ (日本海軍),IJN GRAY (KURE ARSENAL)
82113,LP-13,佐世保海軍工廠グレイ (日本海軍),IJN GRAY (SASEBO ARSENAL)
82114,LP-14,舞鶴海軍工廠グレイ (日本海軍),IJN GRAY (MAIZURU ARSENAL)
82115,LP-15,横須賀海軍工廠グレイ (日本海軍),IJN GRAY (YOKOSUKA ARSENAL)
82116,LP-16,木甲板色,WOODEN DECK TAN
82117,LP-17,リノリウム甲板色,LINOLEUM DECK BROWN
82118,LP-18,ダルレッド,DULL RED
82119,LP-19,ガンメタル,GUN METAL
82120,LP-20,ライトガンメタル,LIGHT GUN METAL
82121,LP-21,イタリアンレッド,ITALIAN RED
82122,LP-22,フラットベース,FLAT BASE
82123,LP-23,フラットクリヤー,FLAT CLEAR
82124,LP-24,セミグロスクリヤー,SEMI GLOSS CLEAR
82125,LP-25,茶色(陸上自衛隊),BROWN (JGSDF)
82126,LP-26,濃緑色(陸上自衛隊),DARK GREEN (JGSDF)
82127,LP-27,ジャーマングレイ,GERMAN GRAY
82128,LP-28,オリーブドラブ,OLIVE DRAB
82129,LP-29,オリーブドラブ2,OLIVE DRAB 2
82130,LP-30,ライトサンド,LIGHT SAND
82131,LP-31,暗緑色2(日本海軍),Dark Green 2 (IJN)
82132,LP-32,明灰白色(日本海軍),LIGHT GRAY (IJN)
82133,LP-33,灰緑色(日本海軍),GRAY GREEN (IJN)
82134,LP-34,ライトグレイ,LIGHT GRAY
82135,LP-35,インシグニアホワイト,INSIGNIA WHITE
82136,LP-36,ダークゴーストグレイ,DARK GHOST GRAY
82137,LP-37,ライトゴーストグレイ,LIGHT GHOST GRAY
82138,LP-38,フラットアルミ,FLAT ALUMINUM
82139,LP-39,レーシングホワイト,RACING WHITE
82140,LP-40,メタリックブラック,METALLIC BLACK
82141,LP-41,マイカブルー,MICA BLUE
82142,LP-42,マイカレッド,MICA RED
82143,LP-43,パールホワイト,PEARL WHITE
82144,LP-44,メタリックオレンジ,METALLIC ORANGE
82145,LP-45,レーシングブルー,RACING BLUE
82146,LP-46,ピュアーメタリックレッド,PURE METALLIC RED
82147,LP-47,パールブルー,PEARL BLUE
82148,LP-48,スパークリングシルバー,SPARKLING SILVER
82149,LP-49,パールクリヤー,PEARL CLEAR
82150,LP-50,ブライトレッド,BRIGHT RED
82151,LP-51,ピュアーオレンジ,PURE ORANGE
82152,LP-52,クリヤーレッド,CLEAR RED
82153,LP-53,クリヤーオレンジ,CLEAR ORANGE
82154,LP-54,ダークアイアン（履帯色）,DARK IRON
82155,LP-55,ダークイエロー2（ドイツ陸軍）,DARK YELLOW 2
82156,LP-56,ダークグリーン2（ドイツ陸軍）,DARK GREEN 2
82157,LP-57,レッドブラウン2（ドイツ陸軍）,RED BROWN 2
82158,LP-58,NATOグリーン,NATO GREEN
82159,LP-59,NATOブラウン,NATO BROWN
82160,LP-60,NATOブラック,NATO BLACK
82161,LP-61,メタリックグレイ,METALLIC GRAY
82162,LP-62,チタンゴールド,TITANIUM GOLD
82163,LP-63,チタンシルバー,TITANIUM SILVER
82164,LP-64,OD色（陸上自衛隊）,OLIVE DRAB (JGSDF)
82165,LP-65,ラバーブラック,RUBBER BLACK
82166,LP-66,フラットフレッシュ,FLAT FLESH
82167,LP-67,スモーク,SMOKE
82168,LP-68,クリヤーブルー,CLEAR BLUE
82169,LP-69,クリヤーイエロー,CLEAR YELLOW
82170,LP-70,アルミシルバー,GLOSS ALUMINUM
82171,LP-71,シャンパンゴールド,CHAMPAGNE GOLD
82172,LP-72,マイカシルバー,MICA SILVER
82173,LP-73,カーキ,KHAKI
82174,LP-74,フラットアース,FLAT EARTH
82175,LP-75,バフ,BUFF
82176,LP-76,イエローブラウン (DAK 1941～),YELLOW-BROWN (DAK 1941)
82177,LP-77,ライトブラウン (DAK 1942～),LIGHT BROWN (DAK 1942)
82178,LP-78,フラットブルー,FLAT BLUE
82179,LP-79,フラットレッド,FLAT RED
82180,LP-80,フラットイエロー,FLAT YELLOW
82181,LP-81,調色用ブルー,Mixing Blue
82182,LP-82,調色用レッド,MIXING RED
82183,LP-83,調色用イエロー,MIXING YELLOW
